Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Delaware,731885.0,54900.0,2094.0,47.0,2709.0,557.0,3598.0,1254.0,981.0,1183.0,165.0,5.0,376.0,2062.0,2003.0,1493.0,5348.0,695.0,1453.0,38.0,0.0,280.0,131.0,1125.0,2552.0,3.0,208.0,1252.0,158.0,10,2011
Delaware,739923.0,56025.0,1985.0,70.0,2379.0,697.0,3361.0,1244.0,949.0,964.0,227.0,69.0,287.0,2020.0,1946.0,1654.0,5754.0,650.0,1515.0,43.0,0.0,247.0,82.0,1207.0,2474.0,2.0,154.0,1254.0,174.0,10,2012
Delaware,745175.0,57255.0,2562.0,75.0,2282.0,696.0,3191.0,1288.0,999.0,1014.0,216.0,62.0,262.0,2091.0,1895.0,1746.0,6110.0,562.0,1598.0,49.0,0.0,183.0,42.0,1095.0,2293.0,0.0,141.0,1628.0,122.0,10,2013
Delaware,751689.0,59204.0,2696.0,65.0,2194.0,671.0,2748.0,1197.0,868.0,1147.0,212.0,58.0,460.0,2258.0,1934.0,1547.0,6291.0,591.0,1566.0,93.0,0.0,144.0,83.0,1056.0,2274.0,0.0,63.0,1645.0,93.0,10,2014
Delaware,758393.0,59814.0,2354.0,67.0,2133.0,731.0,2381.0,1027.0,944.0,941.0,267.0,74.0,503.0,2241.0,2570.0,1287.0,6460.0,511.0,1972.0,163.0,30.0,116.0,105.0,1390.0,2205.0,0.0,35.0,1792.0,105.0,10,2015
District of Columbia,474092.0,40741.0,755.0,80.0,1323.0,1062.0,2304.0,372.0,1143.0,699.0,478.0,74.0,692.0,185.0,854.0,156.0,2575.0,760.0,879.0,42.0,0.0,271.0,16.0,876.0,1552.0,0.0,169.0,1262.0,387.0,11,2009
District of Columbia,471292.0,40324.0,811.0,90.0,1280.0,1140.0,2425.0,411.0,1170.0,588.0,482.0,76.0,660.0,266.0,1104.0,225.0,3308.0,751.0,1168.0,48.0,0.0,296.0,13.0,988.0,1169.0,0.0,169.0,1288.0,419.0,11,2010
District of Columbia,479313.0,39611.0,794.0,87.0,1419.0,1146.0,2648.0,429.0,1823.0,493.0,526.0,44.0,643.0,199.0,1048.0,212.0,3424.0,817.0,1159.0,35.0,56.0,277.0,42.0,1084.0,1147.0,0.0,212.0,1406.0,513.0,11,2011
District of Columbia,486147.0,40664.0,613.0,74.0,1457.0,1205.0,2933.0,544.0,1717.0,481.0,485.0,53.0,564.0,273.0,1171.0,304.0,3697.0,650.0,1202.0,32.0,53.0,361.0,47.0,1095.0,1496.0,0.0,178.0,1451.0,559.0,11,2012
District of Columbia,490944.0,44457.0,440.0,7.0,1759.0,1449.0,2623.0,662.0,1895.0,483.0,486.0,93.0,663.0,311.0,1245.0,261.0,4306.0,820.0,1290.0,53.0,54.0,386.0,53.0,1166.0,1436.0,0.0,275.0,1599.0,597.0,11,2013
District of Columbia,497255.0,47496.0,439.0,17.0,2007.0,1684.0,2772.0,805.0,2112.0,462.0,413.0,85.0,834.0,330.0,1009.0,304.0,5164.0,948.0,1271.0,62.0,42.0,322.0,37.0,762.0,1580.0,14.0,219.0,1711.0,652.0,11,2014
District of Columbia,503735.0,50782.0,567.0,18.0,2038.0,1676.0,2713.0,687.0,2144.0,511.0,476.0,126.0,1116.0,358.0,1380.0,440.0,5217.0,895.0,1195.0,74.0,39.0,309.0,41.0,899.0,1773.0,18.0,179.0,1852.0,648.0,11,2015
Florida,12663966.0,3221199.0,295535.0,7884.0,56527.0,86457.0,73568.0,22217.0,33373.0,24951.0,15357.0,2466.0,8746.0,13512.0,19009.0,13731.0,46882.0,11604.0,19211.0,4501.0,1407.0,9455.0,4361.0,47673.0,52141.0,94.0,11353.0,40076.0,18743.0,12,2009
Florida,12786704.0,3408312.0,320427.0,7153.0,53693.0,87403.0,72261.0,21803.0,32148.0,23934.0,16517.0,2490.0,8769.0,16483.0,20157.0,14492.0,50312.0,11789.0,20336.0,4827.0,1450.0,10277.0,4602.0,53249.0,55071.0,75.0,10627.0,37285.0,19687.0,12,2010
Florida,12858182.0,3493644.0,334789.0,6453.0,51865.0,87803.0,72982.0,21158.0,34395.0,24730.0,16627.0,2731.0,9342.0,16620.0,20453.0,16460.0,51955.0,11329.0,19215.0,4931.0,1491.0,10705.0,4377.0,53742.0,57395.0,74.0,10973.0,38900.0,18747.0,12,2011
Florida,12951107.0,3566368.0,349480.0,6298.0,50503.0,86856.0,71438.0,21407.0,35706.0,24555.0,16840.0,2307.0,9473.0,18206.0,19923.0,15752.0,55442.0,12169.0,18944.0,5173.0,1453.0,10868.0,4082.0,57300.0,59344.0,87.0,10686.0,42879.0,19458.0,12,2012
Florida,13070061.0,3640750.0,361103.0,5785.0,49161.0,87311.0,69475.0,20862.0,35974.0,23937.0,17890.0,2268.0,9435.0,19530.0,19848.0,17383.0,59400.0,12041.0,18720.0,4679.0,1643.0,9870.0,4224.0,56119.0,60165.0,79.0,10658.0,42761.0,20002.0,12,2013
Florida,13202757.0,3743708.0,373552.0,5181.0,48636.0,86998.0,67584.0,21083.0,37209.0,23997.0,19116.0,2254.0,9754.0,19310.0,20840.0,16686.0,61328.0,12020.0,19385.0,4483.0,1341.0,10937.0,4537.0,61028.0,61509.0,57.0,10532.0,48486.0,20661.0,12,2014
Florida,13346251.0,3849991.0,386481.0,4215.0,49434.0,86583.0,64955.0,20150.0,39447.0,24119.0,17329.0,1975.0,10535.0,19180.0,22989.0,17424.0,65163.0,12190.0,20498.0,4694.0,1482.0,11475.0,4215.0,59694.0,64335.0,54.0,10249.0,53724.0,21073.0,12,2015
Georgia,7713250.0,618059.0,12978.0,318.0,5528.0,15303.0,27015.0,2706.0,13841.0,3444.0,8017.0,593.0,7871.0,14976.0,18496.0,8970.0,33838.0,8110.0,39172.0,3876.0,2514.0,2792.0,4796.0,36034.0,10300.0,144.0,838.0,11555.0,2899.0,13,2009
Georgia,7666663.0,652397.0,15087.0,371.0,5724.0,13697.0,25291.0,2484.0,12438.0,3518.0,8121.0,519.0,8195.0,15909.0,19932.0,9964.0,36743.0,8350.0,44834.0,3712.0,2911.0,2711.0,5029.0,39498.0,11019.0,195.0,886.0,11578.0,3122.0,13,2010
Georgia,7759510.0,675924.0,15129.0,470.0,5290.0,13101.0,26537.0,2427.0,13386.0,3258.0,7855.0,503.0,8814.0,18589.0,20206.0,9093.0,40005.0,8057.0,46610.0,3762.0,3405.0,3196.0,4961.0,40561.0,11362.0,297.0,987.0,13414.0,2880.0,13,2011
Georgia,7844652.0,693520.0,16055.0,554.0,4988.0,12862.0,26136.0,2572.0,14457.0,3621.0,8658.0,641.0,8840.0,18580.0,20510.0,8486.0,41117.0,8264.0,47259.0,3871.0,3064.0,3278.0,4945.0,40542.0,11903.0,257.0,954.0,14116.0,2824.0,13,2012
Georgia,7921115.0,709563.0,17446.0,551.0,4846.0,12148.0,25968.0,2765.0,14848.0,3767.0,7444.0,449.0,9228.0,19656.0,21744.0,9407.0,42582.0,8474.0,44978.0,4475.0,3061.0,3186.0,5143.0,41108.0,12205.0,233.0,956.0,15343.0,2794.0,13,2013
Georgia,7997956.0,727616.0,17040.0,499.0,4803.0,11573.0,25206.0,2814.0,14879.0,3249.0,7437.0,343.0,8749.0,20524.0,23682.0,9334.0,45319.0,8397.0,45220.0,4462.0,3099.0,3717.0,5246.0,42254.0,12013.0,169.0,1054.0,15654.0,2909.0,13,2014
Georgia,8069207.0,740917.0,17084.0,414.0,4542.0,12021.0,23843.0,2663.0,15753.0,3114.0,6671.0,455.0,8207.0,22207.0,25824.0,10449.0,47088.0,8206.0,45633.0,4595.0,2911.0,3851.0,5441.0,43958.0,12323.0,136.0,1056.0,17052.0,2992.0,13,2015
Hawaii,902493.0,25229.0,312.0,42.0,923.0,1571.0,4099.0,345.0,632.0,487.0,274.0,33.0,283.0,15.0,262.0,142.0,28127.0,47505.0,17117.0,220.0,41.0,2033.0,1738.0,7690.0,50858.0,63.0,102.0,443.0,187.0,15,2009
Hawaii,929303.0,25285.0,532.0,39.0,871.0,1507.0,4423.0,323.0,694.0,493.0,226.0,77.0,280.0,42.0,252.0,95.0,30656.0,48016.0,18405.0,287.0,40.0,2132.0,1960.0,9053.0,55544.0,52.0,119.0,432.0,287.0,15,2010
Hawaii,936252.0,26563.0,463.0,48.0,799.0,1659.0,4665.0,213.0,1120.0,496.0,148.0,81.0,305.0,60.0,323.0,120.0,31227.0,47717.0,18298.0,391.0,5.0,2033.0,2165.0,8166.0,56424.0,38.0,114.0,437.0,361.0,15,2011
Hawaii,947196.0,26779.0,396.0,36.0,668.0,1785.0,4716.0,236.0,1167.0,311.0,243.0,89.0,466.0,55.0,467.0,81.0,32054.0,45621.0,18079.0,242.0,29.0,1858.0,2357.0,8201.0,58197.0,13.0,123.0,534.0,360.0,15,2012
Hawaii,960182.0,25491.0,348.0,39.0,655.0,1915.0,4615.0,192.0,1169.0,513.0,187.0,82.0,476.0,57.0,410.0,45.0,31537.0,45633.0,17276.0,274.0,23.0,1920.0,2279.0,9418.0,58345.0,13.0,139.0,446.0,290.0,15,2013
Hawaii,973529.0,25114.0,311.0,40.0,621.0,1860.0,4431.0,204.0,1109.0,568.0,177.0,72.0,424.0,44.0,522.0,36.0,31146.0,45356.0,17190.0,243.0,33.0,1884.0,2233.0,9387.0,59621.0,42.0,136.0,584.0,320.0,15,2014
Hawaii,983565.0,25776.0,113.0,40.0,643.0,2048.0,3782.0,134.0,1124.0,494.0,250.0,17.0,715.0,19.0,543.0,44.0,32758.0,45190.0,18337.0,196.0,41.0,1815.0,1999.0,9389.0,59627.0,48.0,129.0,472.0,433.0,15,2015
Idaho,1235789.0,102251.0,160.0,13.0,842.0,1439.0,4707.0,374.0,1815.0,289.0,1748.0,30.0,319.0,30.0,521.0,85.0,2011.0,1880.0,1222.0,135.0,0.0,782.0,664.0,1141.0,1477.0,295.0,205.0,816.0,103.0,16,2009
Idaho,1263694.0,106792.0,174.0,10.0,781.0,1430.0,5045.0,359.0,2160.0,217.0,1915.0,33.0,279.0,124.0,360.0,52.0,2239.0,1956.0,1390.0,160.0,0.0,936.0,480.0,1018.0,1378.0,176.0,230.0,457.0,103.0,16,2010
Idaho,1283480.0,108674.0,168.0,11.0,846.0,1336.0,4744.0,315.0,2085.0,297.0,2063.0,33.0,429.0,60.0,416.0,11.0,2648.0,1809.0,1413.0,156.0,44.0,649.0,487.0,877.0,1604.0,226.0,253.0,619.0,79.0,16,2011
Idaho,1298241.0,111878.0,49.0,11.0,719.0,1414.0,4789.0,334.0,2395.0,264.0,2167.0,34.0,344.0,59.0,362.0,17.0,2897.0,1884.0,1209.0,185.0,29.0,509.0,711.0,1006.0,1701.0,153.0,114.0,750.0,5.0,16,2012
Idaho,1312576.0,114558.0,64.0,20.0,660.0,1563.0,4483.0,245.0,1878.0,225.0,2533.0,34.0,484.0,99.0,296.0,30.0,3281.0,1595.0,1128.0,98.0,42.0,412.0,787.0,1049.0,1886.0,153.0,108.0,1270.0,16.0,16,2013
Idaho,1325642.0,118178.0,73.0,12.0,623.0,1558.0,4428.0,143.0,1774.0,207.0,2274.0,10.0,505.0,142.0,530.0,198.0,3514.0,1446.0,1449.0,127.0,71.0,320.0,607.0,1020.0,1925.0,168.0,121.0,1312.0,32.0,16,2014
