State,English only,Spanish,French Creole,Yiddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
New Jersey,5811132.0,1250143.0,43850.0,6047.0,81056.0,83381.0,28532.0,21345.0,44078.0,65613.0,9284.0,5815.0,9169.0,71997.0,62743.0,27077.0,109094.0,12408.0,76790.0,759.0,18.0,2925.0,462.0,20991.0,79828.0,0.0,6143.0,54745.0,15542.0,34,2012
New Jersey,5804858.0,1277011.0,44092.0,6587.0,78856.0,84180.0,27412.0,20843.0,44795.0,66346.0,8967.0,5351.0,8944.0,75414.0,63342.0,27961.0,111151.0,12032.0,76224.0,745.0,15.0,2920.0,244.0,20704.0,81134.0,0.0,6296.0,59729.0,15800.0,34,2013
New Jersey,5809850.0,1303353.0,43051.0,6433.0,77585.0,80075.0,26172.0,21876.0,44863.0,66987.0,9512.0,5423.0,8405.0,74721.0,65946.0,28814.0,114071.0,11442.0,81118.0,833.0,7.0,2557.0,295.0,20182.0,78291.0,0.0,6363.0,61776.0,14558.0,34,2014
New Jersey,5816691.0,1319500.0,45065.0,6473.0,74149.0,77896.0,24232.0,22329.0,45961.0,64216.0,9153.0,5422.0,8815.0,74230.0,71124.0,30396.0,114616.0,10623.0,79033.0,980.0,29.0,2661.0,415.0,20290.0,81427.0,19.0,6167.0,64404.0,14180.0,34,2015
New York,13009868.0,2540604.0,134946.0,125780.0,232810.0,46018.0,72488.0,79759.0,231957.0,101626.0,34604.0,7215.0,26212.0,19655.0,50707.0,57206.0,451926.0,33671.0,106740.0,3480.0,152.0,6443.0,2412.0,23381.0,72918.0,66.0,14359.0,75504.0,69971.0,36,2009
New York,12788323.0,2613816.0,137936.0,121860.0,212832.0,45102.0,69731.0,74378.0,217906.0,96801.0,33002.0,6676.0,25548.0,20732.0,57722.0,65328.0,483722.0,35850.0,111921.0,4408.0,192.0,7342.0,3256.0,22873.0,75090.0,100.0,13122.0,74300.0,69654.0,36,2010
New York,12798327.0,2640614.0,147293.0,124417.0,205877.0,45572.0,68441.0,72363.0,218771.0,98227.0,33683.0,6728.0,27358.0,21142.0,59714.0,67179.0,493477.0,35215.0,113077.0,4117.0,178.0,8334.0,3702.0,22053.0,75708.0,95.0,12776.0,79580.0,67370.0,36,2011
New York,12808501.0,2675712.0,149509.0,127059.0,199854.0,46452.0,68372.0,72857.0,222710.0,95634.0,34359.0,6672.0,26668.0,20831.0,60810.0,67104.0,510620.0,34970.0,113038.0,4679.0,163.0,8780.0,3607.0,22756.0,77674.0,90.0,12284.0,83929.0,67461.0,36,2012
New York,12835426.0,2705243.0,153455.0,128760.0,191569.0,45070.0,65194.0,71233.0,226290.0,95175.0,34025.0,6595.0,26545.0,20782.0,58591.0,71425.0,523389.0,34294.0,109551.0,4578.0,191.0,9395.0,3184.0,22269.0,76524.0,219.0,12314.0,86213.0,66835.0,36,2013
New York,12867700.0,2741443.0,157863.0,131883.0,184947.0,43867.0,64420.0,67069.0,226596.0,95163.0,32553.0,7112.0,26132.0,20366.0,57850.0,74090.0,537382.0,34802.0,106891.0,4675.0,90.0,9750.0,3333.0,21968.0,78121.0,123.0,12015.0,89225.0,66516.0,36,2014
New York,12882449.0,2771339.0,157133.0,135836.0,176880.0,42642.0,60817.0,67005.0,227836.0,92461.0,31484.0,7184.0,26104.0,19548.0,60039.0,74420.0,553291.0,34489.0,105873.0,4303.0,198.0,9498.0,3010.0,23732.0,77408.0,163.0,11641.0,92460.0,67067.0,36,2015
North Carolina,7602910.0,533028.0,2336.0,142.0,6948.0,5454.0,22648.0,6025.0,9002.0,3213.0,3340.0,313.0,3251.0,8175.0,9519.0,5583.0,22244.0,6268.0,12778.0,4264.0,8476.0,2416.0,4554.0,16659.0,10408.0,215.0,962.0,15026.0,1762.0,37,2009
North Carolina,7750904.0,601101.0,2728.0,176.0,7493.0,5780.0,23401.0,5762.0,9371.0,2885.0,3083.0,276.0,3852.0,9060.0,10819.0,6050.0,25412.0,6765.0,14604.0,4402.0,9191.0,2911.0,4334.0,19945.0,11941.0,217.0,979.0,15061.0,1839.0,37,2010
North Carolina,7862319.0,624448.0,2194.0,98.0,7511.0,6311.0,23884.0,5413.0,9943.0,2869.0,3300.0,243.0,4409.0,10104.0,11611.0,5330.0,26854.0,6307.0,15041.0,4700.0,9276.0,3324.0,4130.0,20456.0,11324.0,310.0,1367.0,15155.0,1823.0,37,2011
North Carolina,7955851.0,644010.0,2563.0,91.0,7480.0,6715.0,24275.0,5645.0,10101.0,3368.0,3550.0,258.0,4578.0,10042.0,11444.0,5333.0,28529.0,5915.0,15545.0,4524.0,9416.0,3332.0,4588.0,21436.0,12340.0,267.0,1187.0,16633.0,1679.0,37,2012
North Carolina,8042027.0,658939.0,2655.0,74.0,7394.0,6189.0,23535.0,5234.0,10351.0,3248.0,3479.0,299.0,4150.0,9623.0,13048.0,5293.0,30083.0,5717.0,15685.0,5239.0,8786.0,2794.0,4695.0,22459.0,12098.0,243.0,1262.0,16371.0,1583.0,37,2013
North Carolina,8122842.0,673220.0,2771.0,117.0,7017.0,5946.0,22652.0,5896.0,9802.0,3165.0,3244.0,195.0,3737.0,9546.0,14433.0,6160.0,31303.0,5767.0,15501.0,4969.0,9352.0,2245.0,5294.0,23270.0,14013.0,179.0,1740.0,17992.0,1396.0,37,2014
North Carolina,8202268.0,685469.0,3312.0,99.0,6418.0,6364.0,22114.0,5421.0,10766.0,3397.0,3835.0,212.0,4129.0,11096.0,15827.0,6344.0,33051.0,5338.0,14849.0,4788.0,9156.0,1978.0,4769.0,23484.0,14231.0,195.0,1663.0,19041.0,1427.0,37,2015
Pennsylvania,10669840.0,448902.0,11107.0,2095.0,52684.0,12950.0,57776.0,15284.0,34638.0,27157.0,8531.0,1968.0,3800.0,15435.0,16193.0,7679.0,57719.0,7041.0,27118.0,8790.0,525.0,1931.0,1950.0,30946.0,12038.0,25.0,4550.0,22966.0,6946.0,42,2009
Pennsylvania,10710239.0,490488.0,13435.0,1872.0,51651.0,12223.0,56724.0,14783.0,33047.0,26191.0,8162.0,1880.0,4133.0,18164.0,19186.0,8580.0,64437.0,6832.0,30381.0,10976.0,425.0,2241.0,2210.0,34082.0,13859.0,27.0,4150.0,24605.0,6238.0,42,2010
Pennsylvania,10734015.0,501460.0,14092.0,1994.0,48535.0,12482.0,54173.0,14518.0,35173.0,25590.0,9078.0,2131.0,4211.0,17639.0,19216.0,9018.0,65795.0,6977.0,30027.0,10526.0,1023.0,2431.0,2566.0,36481.0,14836.0,101.0,4119.0,26320.0,6231.0,42,2011
Pennsylvania,10754193.0,515191.0,12853.0,1997.0,46975.0,12442.0,53609.0,14378.0,35255.0,24729.0,8886.0,1991.0,4486.0,19607.0,21067.0,8288.0,68193.0,6398.0,28643.0,11524.0,896.0,2470.0,2793.0,35869.0,15156.0,102.0,3995.0,28310.0,6354.0,42,2012
Pennsylvania,10769224.0,525218.0,14996.0,1867.0,44686.0,12504.0,51345.0,14970.0,35394.0,23470.0,8533.0,1979.0,4554.0,19292.0,21108.0,8322.0,72904.0,6546.0,28884.0,11188.0,900.0,2304.0,2064.0,37783.0,15222.0,124.0,3857.0,29546.0,6272.0,42,2013
Pennsylvania,10773301.0,541221.0,17263.0,1706.0,43948.0,12685.0,48433.0,14214.0,36081.0,22007.0,8589.0,1979.0,4277.0,18112.0,21621.0,9586.0,78148.0,6528.0,29222.0,11908.0,1189.0,2157.0,2375.0,37423.0,16056.0,142.0,3630.0,30136.0,6424.0,42,2014
Pennsylvania,10777528.0,548849.0,16861.0,1521.0,41521.0,12155.0,46385.0,14370.0,38318.0,21837.0,8185.0,1743.0,4818.0,17671.0,22668.0,10595.0,83896.0,6826.0,28550.0,11841.0,1222.0,2002.0,2020.0,37309.0,16038.0,137.0,3424.0,31399.0,6670.0,42,2015
Rhode Island,792382.0,99683.0,5243.0,65.0,9697.0,33923.0,1921.0,1671.0,2150.0,2431.0,71.0,1609.0,183.0,379.0,818.0,413.0,4474.0,615.0,1420.0,4302.0,986.0,380.0,3131.0,927.0,1960.0,29.0,86.0,1735.0,402.0,44,2009
Rhode Island,790382.0,103193.0,5692.0,77.0,8954.0,33178.0,1887.0,1586.0,1808.0,2467.0,67.0,1609.0,236.0,522.0,722.0,448.0,5877.0,566.0,1687.0,4305.0,881.0,550.0,2617.0,1016.0,2114.0,33.0,166.0,1913.0,445.0,44,2010
Rhode Island,786716.0,105155.0,6055.0,93.0,8760.0,33522.0,1930.0,1670.0,1901.0,2626.0,149.0,1301.0,339.0,462.0,904.0,370.0,5867.0,389.0,1481.0,4542.0,871.0,656.0,2985.0,937.0,1979.0,38.0,135.0,1981.0,396.0,44,2011
